epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.60194,0.44939,4.33793,0.80109,0,0,0,0,0.46201,4.34092,0.80206,0.0962,0.0002,0.0002
2,15.4279,0.6636,3.05307,0.8395,0,0,0,0,0.65951,4.57042,0.89001,0.0914391,0.000439098,0.000439098
3,22.1652,0.62634,2.57414,0.8932,0,0,0,0,0.56285,4.57617,0.85751,0.0866338,0.000633824,0.000633824
4,28.9008,0.67631,2.30862,0.86937,0,0,0,0,0.4033,4.55592,0.81314,0.0817562,0.000756156,0.000756156
5,35.6533,0.60542,2.26141,0.88108,0,0,0,0,0.52294,4.33649,0.84474,0.0767896,0.000789556,0.000789556
6,42.3771,0.60736,1.74387,0.86588,0,0,0,0,0.6644,4.06611,0.86695,0.0717322,0.00073225,0.00073225
7,49.2269,0.51748,1.4362,0.8536,0,0,0,0,0.7856,3.67102,0.88173,0.0665985,0.000598462,0.000598462
8,55.8817,0.50391,1.41151,0.82333,0,0,0,0,0.79491,3.49059,0.88316,0.0614174,0.00041739,0.00041739
9,62.5658,0.4935,1.27216,0.83335,0,0,0,0,0.7626,3.30059,0.87702,0.05623,0.00022998,0.00022998
10,69.4513,0.49974,1.18537,0.7989,0,0,0,0,0.6799,2.9796,0.86552,0.0510839,8.38562e-05,8.38562e-05
